"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-04-01 ~ 2026-04-24"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"86","경기도 의정부시 가능동","50","0050","0000","힐스테이트녹양역","59.9932","202604","22","39,000","-","12","개인","개인","2018","가금로34번길 23","-","중개거래","경기 의정부시","-"
"87","경기도 의정부시 가능동","656-1","0656","0001","SKVIEW","59.9800","202604","22","31,000","-","18","개인","개인","2007","신촌로 18-7","-","중개거래","경기 의정부시","-"
"88","경기도 안산시 단원구 초지동","741","0741","0000","서해그랑블","84.9620","202604","22","44,000","-","9","개인","개인","2004","초지1로 78","-","중개거래","경기 안산시 단원구","-"
"89","경기도 성남시 분당구 야탑동","391","0391","0000","현대I-PARK","146.8267","202604","22","139,100","-","2","개인","개인","2003","야탑로 125","-","직거래","-","-"
"90","경기도 화성시 동탄구 영천동","651-1397","0651","1397","동탄퍼스트파크","72.5957","202604","22","41,900","-","5","개인","개인","2003"," 8","-","중개거래","경기 화성시 동탄구","-"
"91","경기도 용인시 기흥구 서천동","700","0700","0000","SK","127.7850","202604","22","56,000","-","19","개인","개인","2002","예현로 15","-","중개거래","경기 용인시 기흥구","-"
"92","경기도 용인시 기흥구 서천동","801","0801","0000","힐스테이트서천","84.8890","202604","22","76,200","-","6","개인","개인","2016","서천동로 22","-","중개거래","경기 용인시 기흥구","-"
"93","경기도 화성시 동탄구 능동","1132","1132","0000","동탄숲속마을 모아미래도1단지","59.3700","202604","22","57,000","-","5","개인","개인","2008"," 96","-","중개거래","경기 화성시 동탄구","-"
"94","경기도 광주시 초월읍 쌍동리","401","0401","0000","힐스테이트초월역1블록","59.9515","202604","22","43,000","-","5","개인","개인","2024","도곡길 27","-","중개거래","경기 광주시","-"
"95","경기도 의정부시 민락동","894","0894","0000","민락2지구18단지호반베르디움","84.9788","202604","22","44,500","-","8","개인","개인","2017","송양로 93","-","중개거래","경기 의정부시","-"
"96","경기도 의정부시 금오동","476-1","0476","0001","금오주공그린빌3","59.0600","202604","22","27,500","-","12","개인","개인","2003","부용로 137","-","중개거래","경기 의정부시","-"
"97","경기도 화성시 동탄구 청계동","547","0547","0000","동탄역신안인스빌리베라2차","59.9680","202604","22","74,500","-","19","개인","개인","2016"," 303-13","-","중개거래","경기 화성시 동탄구","-"
"98","경기도 김포시 걸포동","1558","1558","0000","오스타파라곤1단지","118.9300","202604","22","55,000","-","3","개인","개인","2010","걸포1로 11","-","중개거래","경기 김포시","-"
"99","경기도 용인시 기흥구 신갈동","703","0703","0000","파크시엘","84.9800","202604","22","79,700","-","3","개인","개인","2004","새천년로 40","-","중개거래","경기 용인시 기흥구","-"
"100","경기도 화성시 만세구 남양읍 남양리","2048","2048","0000","남양아이파크","84.9037","202604","22","33,500","-","2","개인","개인","2009"," 70","-","중개거래","경기 화성시 만세구","-"
"101","경기도 수원시 팔달구 인계동","1173","1173","0000","수원센트럴아이파크자이","59.9900","202604","22","65,800","-","3","개인","개인","2024","인계로 21","-","중개거래","경기 수원시 팔달구","-"
"102","경기도 수원시 팔달구 화서동","713","0713","0000","꽃뫼버들마을엘지","84.9380","202604","22","60,000","-","3","개인","개인","2001","정자천로32번길 20","-","중개거래","경기 수원시 권선구, 경기 하남시","-"
"103","경기도 화성시 병점구 반정동","623","0623","0000","반정아이파크캐슬4단지","84.7300","202604","22","76,000","-","3","개인","개인","2022"," 59","-","중개거래","경기 수원시 영통구, 경기 화성시 병점구","-"
"104","경기도 용인시 처인구 유방동","330-1","0330","0001","용인보평역서희스타힐스리버파크","59.9806","202604","22","44,300","-","7","개인","개인","2024","한터로 55-30","-","중개거래","경기 용인시 처인구","-"
"105","경기도 화성시 효행구 봉담읍 와우리","589","0589","0000","봉담그대가3단지","83.9260","202604","22","30,000","-","10","개인","개인","2008"," 10","-","중개거래","경기 수원시 권선구, 경기 화성시 효행구","-"
"106","경기도 화성시 병점구 반월동","944","0944","0000","에스케이뷰파크","84.9408","202604","22","64,000","-","10","개인","개인","2015"," 382-37","-","중개거래","경기 화성시 병점구, 서울 강동구","-"
"107","경기도 수원시 팔달구 우만동","28","0028","0000","우만주공1단지","47.2500","202604","22","43,500","-","4","개인","개인","1988","중부대로223번길 102","-","중개거래","경기 수원시 팔달구","-"
"108","경기도 용인시 처인구 역북동","826","0826","0000","서희스타힐스포레스트","76.4926","202604","22","47,400","-","4","개인","개인","2023","낙은로 100-30","-","중개거래","경기 용인시 처인구","-"
"109","경기도 용인시 처인구 역북동","736","0736","0000","우미린센트럴파크","84.9054","202604","22","64,000","-","3","개인","개인","2017","명지로16번길 25","-","중개거래","경기 용인시 처인구","-"
"110","경기도 화성시 병점구 안녕동","211","0211","0000","병점역동문굿모닝힐","84.9907","202604","22","31,800","-","14","개인","개인","2006"," 846","-","중개거래","경기 화성시 병점구","-"
"111","경기도 하남시 망월동","946","0946","0000","미사강변 파크뷰","74.9600","202604","22","112,000","-","6","개인","개인","2015","미사강변동로 177","-","중개거래","경기 하남시","-"
"112","경기도 용인시 수지구 상현동","842","0842","0000","상현마을수지센트럴아이파크","101.9783","202604","22","105,000","-","5","개인","개인","2006","상현로 101","-","중개거래","경기 용인시 수지구","-"
"113","경기도 화성시 동탄구 청계동","558","0558","0000","동탄역대원칸타빌포레지움","84.2080","202604","22","66,900","-","11","개인","개인","2015"," 14","-","중개거래","경기 화성시 동탄구","-"
"114","경기도 남양주시 진접읍 부평리","771","0771","0000","더샵남양주퍼스트시티","84.7000","202604","22","44,000","-","8","개인","개인","2021","부평로48번길 140","-","중개거래","경기 남양주시","-"
"115","경기도 수원시 영통구 영통동","970-3","0970","0003","벽적골9단지주공","59.3900","202604","22","48,000","-","18","개인","개인","1999","봉영로1517번길 27","-","중개거래","경기 수원시 영통구","-"
"116","경기도 수원시 영통구 영통동","1054-3","1054","0003","황골마을한국","59.9900","202604","22","41,000","-","15","개인","개인","1998","봉영로1770번길 21","-","중개거래","경기 수원시 영통구","-"
"117","경기도 화성시 동탄구 청계동","538","0538","0000","동탄역센트럴푸르지오","59.4313","202604","22","83,900","-","9","개인","개인","2015"," 54","-","중개거래","경기 화성시 동탄구","-"
"118","경기도 화성시 만세구 새솔동","27","0027","0000","모아미래도에듀포레","84.9974","202604","22","49,000","-","3","개인","개인","2020"," 293","-","중개거래","경기 화성시 만세구","-"
"119","경기도 수원시 권선구 구운동","902-7","0902","0007","동은101동","84.9700","202604","22","32,900","-","2","개인","개인","2007","일월천로15번길 21-15","-","직거래","-","-"
"120","경기도 화성시 만세구 새솔동","18","0018","0000","송산그린시티이지더원레이크뷰아파트","84.9256","202604","22","57,000","-","11","개인","개인","2018"," 191","-","중개거래","경기 화성시 만세구","-"
"121","경기도 안산시 단원구 고잔동","778","0778","0000","보네르빌리지","89.0810","202604","22","47,000","-","5","개인","법인","2001","안산천남로 211","-","직거래","-","-"
"122","경기도 의정부시 신곡동","754","0754","0000","신곡주공4","59.4700","202604","22","23,000","-","14","개인","개인","2001","능곡로 8","-","중개거래","경기 의정부시","-"
"123","경기도 파주시 동패동","2076","2076","0000","초롱꽃마을8단지중흥S클래스","84.1597","202604","22","64,000","-","13","개인","개인","2022","심학산로 234","-","중개거래","경기 파주시","-"
"124","경기도 화성시 동탄구 목동","479","0479","0000","동탄금강펜테리움센트럴파크Ⅳ","74.8709","202604","22","57,500","-","15","개인","개인","2018"," 45","-","중개거래","경기 화성시 동탄구","-"
"125","경기도 안산시 상록구 본오동","871","0871","0000","신안1","62.4000","202604","22","25,400","-","2","개인","개인","1993","반석로 44","-","중개거래","경기 안산시 상록구","-"
"126","경기도 화성시 효행구 기안동","928","0928","0000","화성우방아이유쉘MEGACITY2단지","84.5361","202604","22","43,000","-","12","개인","개인","2022"," 29","-","중개거래","경기 화성시 효행구","-"
